https://eth.drpc.org,1,0,ethereum,present
https://ethereum.publicnode.com,1,1,ethereum,present
https://eth-mainnet.public.blastapi.io,1,2,ethereum,error
https://eth.llamarpc.com/rpc/${LLAMANODES_API_KEY},1,3,ethereum,error
https://cloudflare-eth.com,1,4,ethereum,error
https://eth-mainnet.alchemyapi.io/v2/84tGz8xVIWFkagsaSzNjObh7aSPbxeXD,1,5,ethereum,present
https://eth-mainnet.alchemyapi.io/v2/VsPzIezK0AtqsnrWAuV0Gew-MS7H_E5E,1,6,ethereum,present
https://eth-mainnet.alchemyapi.io/v2/${ALCHEMY_API_KEY},1,7,ethereum,error
https://mainnet.infura.io/v3/${INFURA_API_KEY},1,8,ethereum,error
https://eth-pokt.nodies.app,1,9,ethereum,present
https://optimism.drpc.org,10,0,optimism,present
https://mainnet.optimism.io,10,1,optimism,present
https://opt-mainnet.g.alchemy.com/v2/3glkhRJRgzHCB2NbDwiQa7G_FTdqn3-T,10,2,optimism,present
https://opt-mainnet.g.alchemy.com/v2/7urLa-8k2RR_UYc0exh-b0qg4xySL5KA,10,3,optimism,present
https://optimism-mainnet.infura.io/v3/${INFURA_API_KEY},10,4,optimism,error
https://opt-mainnet.g.alchemy.com/v2/${ALCHEMY_API_KEY},10,5,optimism,error
https://op-pokt.nodies.app,10,6,optimism,present
https://flare.rpc.thirdweb.com,14,0,flare,present
https://rpc.ankr.com/flare,14,1,flare,present
https://evm.cronos.org,25,0,cronosevm,present
https://evm-dev.cronos.org,25,1,cronosevm,present
https://dimension-evm-rpc.xpla.dev,37,0,xpla,present
https://mainnet.telos.net/evm,40,0,telos,present
https://testnet.telos.net/evm,41,0,telos,error
https://cube-evm-rpc.xpla.dev,47,0,xpla,present
https://bsc.drpc.org,56,0,bsc,present
https://bscrpc.com,56,1,bsc,error
https://binance.nodereal.io,56,2,bsc,present
https://bsc-dataseed.binance.org,56,3,bsc,present
https://bsc-dataseed1.binance.org,56,4,bsc,present
https://bsc-dataseed2.binance.org,56,5,bsc,present
https://bsc-dataseed3.binance.org,56,6,bsc,present
https://bsc-dataseed4.binance.org,56,7,bsc,present
https://bsc-pokt.nodies.app,56,8,bsc,present
https://exchainrpc.okex.org,66,0,okx,present
https://evmtestnet.confluxrpc.com,71,0,conflux,present
https://rpc-2.japanopenchain.org:8545,81,0,joc,none
https://rpc-1.japanopenchain.org:8545,81,0,astar,none
https://rpc-1.japanopenchain.org:8545,81,1,joc,none
https://rpc-2.japanopenchain.org:8545,81,1,astar,none
https://rpc.meter.io,82,0,meter,none
https://rpctest.meter.io,83,0,meter,present
https://rpc.tomochain.com,88,0,tomo,error
https://data-seed-prebsc-1-s3.binance.org:8545,97,0,bsc,present
https://data-seed-prebsc-2-s2.binance.org:8545,97,1,bsc,present
https://data-seed-prebsc-1-s1.binance.org:8545,97,2,bsc,present
https://data-seed-prebsc-1-s2.binance.org:8545,97,3,bsc,present
https://data-seed-prebsc-2-s1.binance.org:8545,97,4,bsc,present
https://gnosis.drpc.org,100,0,gnosis,present
https://rpc.gnosischain.com,100,1,gnosis,present
