isTestnet,nativeChainId,chainKey,chainName,environment,chainLayer,chainStack,currency,decimals,cgId,cmcId,eid,endpointV2,endpointV2View,executor,lzExecutor,sendUln302,receiveUln302,blockedMessageLib
true,71,conflux-testnet,conflux,testnet,1,0,CFX,18,conflux-token,7334,40211,0x6EDCE65403992e310A62460808c4b910D972f10f,0xd6B89da4b5587A47578405A7BDb63772Cd24DD2A,0xE699078689c771383C8e262DCFeE520c9171ED53,0x4235F07eFE67afC9EcaD2B79B5df7479E7489425,0x9325bE62062a8844839C0fF9cbb0bA97b2d9EAF9,0x99710d5cd4650A0E6b34438d0bD860F5A426EFd6,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,81,astar-testnet,astar,testnet,2,0,ASTR,18,astar,12885,40210,0x6EDCE65403992e310A62460808c4b910D972f10f,0x11E513aB8002d740434A131e1fD43126D985c5F1,0x9130D98D47984BF9dc796829618C36CBdA43EBb9,0x4b21Ad992A05Fb14e08df2cAF8d71A5c28b1f5E9,0x3617dA335F75164809B540bA31bdf79DE6cB1Ee3,0xdBdC042321A87DFf222C6BF26be68Ad7b3d7543f,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,83,meter-testnet,meter,testnet,1,0,MTR,18,meter-stable,6627,40156,0x3E03163f253ec436d4562e5eFd038cf98827B7eC,0x5Ee5B5D0a9e13A4a348b0888Db3Fe17b046F07cb,0x68921A9530579203EE812ebddd0eE31ED43E7040,0xe43c4D4d9C7760f44491773A7A08A66aF15545AD,0x6B946AF0b8F3B4D33a36f90C5227D0054722FF32,0xeA2B12219472e0d2a7795c7f61B0602bF5c36E25,0x82bd6930d894a2c35145a39d95a1b849540b2ebd
true,97,bsc-testnet,bsc,testnet,1,0,BNB,18,binancecoin,1839,40102,0x6EDCE65403992e310A62460808c4b910D972f10f,0x9a8E38C2394A4ec94421750b96a67A5CeF75EbfE,0x31894b190a8bAbd9A067Ce59fde0BfCFD2B18470,0x2b8e58866f7312b97Bd66d76BC7d911721563B71,0x55f16c442907e86D764AFdc2a07C2de3BdAc8BB7,0x188d4bbCeD671A7aA2b5055937F79510A32e9683,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,111,bob-testnet,bob,testnet,2,1,ETH,18,ethereum,1027,40279,0x6EDCE65403992e310A62460808c4b910D972f10f,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x55c175DD5b039331dB251424538169D8495C18d1,0x9dB9Ca3305B48F196D18082e91cB64663b13d014,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,114,flare-testnet,flare,testnet,1,3,FLR,18,,7950,40294,0x6EDCE65403992e310A62460808c4b910D972f10f,0xd682ECF100f6F4284138AA925348633B0611Ae21,0x9dB9Ca3305B48F196D18082e91cB64663b13d014,0xe1a12515F9AB2764b887bF60B923Ca494EBbB2d6,0x00C5C0B8e0f75aB862CbAaeCfff499dB555FBDD2,0x1d186C560281B8F1AF831957ED5047fD3AB902F9,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,123,fusespark,fuse,testnet,2,0,FUSE,18,fuse-network-token,5634,40138,0x6EDCE65403992e310A62460808c4b910D972f10f,0x306202702AF38152D3604cD82af71C3db0eE08CF,0x86d08462EaA1559345d7F41f937B2C804209DB8A,0x7F417F2192B89Cf93b8c4Ee01d558883A0AD7B47,0x098Fed01ABd66C63e706Ed9b368726DE54FefBEb,0x253E37074D299b70d11F72eF547cc2EF59fD7f9C,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,155,tenet-testnet,tenet,testnet,1,0,TENET,18,tenet-1b000f7b-59cb-4e06-89ce-d62b32d362b9,24892,40173,0x6EDCE65403992e310A62460808c4b910D972f10f,0xA9D464DAaF3954C2e2d346ca793BE89565694C7D,0xdfF535e7F030E4aA69CcC7E4a8404648e872E220,0x56AdB34A18897dAcd737921cbA6AA0518840C0dd,0x2CAD3483690a95d10eeADFb7A79C212050BF5a23,0xBaf97EC0E26b7879850c8682AdB723670C6133AF,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,195,xlayer-testnet,xlayer,testnet,1,0,OKB,18,okb,3897,40269,0x6EDCE65403992e310A62460808c4b910D972f10f,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0x4dFa426aEAA55E6044d2b47682842460a04aF45c,0x1d186C560281B8F1AF831957ED5047fD3AB902F9,0x53fd4C4fBBd53F6bC58CaE6704b92dB1f360A648,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,233,exocore-testnet,exocore,testnet,1,0,ETH,18,ethereum,1027,40259,0x6EDCE65403992e310A62460808c4b910D972f10f,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x55c175DD5b039331dB251424538169D8495C18d1,0x9dB9Ca3305B48F196D18082e91cB64663b13d014,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
