https://eth-mainnet.public.blastapi.io,1,2,ethereum,error,present
https://eth.llamarpc.com/rpc/${LLAMANODES_API_KEY},1,3,ethereum,error,error
https://cloudflare-eth.com,1,4,ethereum,error,error
https://eth-mainnet.alchemyapi.io/v2/${ALCHEMY_API_KEY},1,7,ethereum,error,error
https://mainnet.infura.io/v3/${INFURA_API_KEY},1,8,ethereum,error,error
https://optimism-mainnet.infura.io/v3/${INFURA_API_KEY},10,4,optimism,error,error
https://opt-mainnet.g.alchemy.com/v2/${ALCHEMY_API_KEY},10,5,optimism,error,error
https://testnet.telos.net/evm,41,0,telos,error,error
https://bscrpc.com,56,1,bsc,error,error
https://rpc.tomochain.com,88,0,tomo,error,error
https://rpc.ankr.com/gnosis,100,2,gnosis,error,error
wss://rpc.gnosischain.com/wss,100,5,gnosis,error,error
https://testnet.rpc.gobob.xyz,111,0,bob,error,error
https://matic-mainnet.chainstacklabs.com,137,1,polygon,error,error
https://polygon.llamarpc.com/rpc/${LLAMANODES_API_KEY},137,3,polygon,error,error
https://polygon-mainnet.g.alchemy.com/v2/${ALCHEMY_API_KEY},137,6,polygon,error,error
https://polygon-mainnet.g.alchemy.com/v2/${ALCHEMY_API_KEY},137,7,polygon,error,error
https://polygon-mainnet.infura.io/v3/${INFURA_API_KEY},137,9,polygon,error,error
https://rpc.ftm.tools,250,1,fantom,error,error
https://l2-orderly-mainnet-0.t.conduit.xyz,291,1,orderly,error,error
https://zksync-era-sepolia.blockpi.network/v1/rpc/public,300,2,zksyncsep,error,error
https://api.baobab.klaytn.net:8651,1001,0,klaytn,error,error
https://rpc.islander.vana.org,1480,0,islander,error,error
https://gobi-rpc.horizenlabs.io/ethv1,1663,0,eon,error,error
https://rpc.ankr.com/horizen_gobi_testnet,1663,1,eon,error,error
https://subnets.avax.network/kiwi/testnet/rpc,2037,0,kiwi,error,error
https://polygon-zkevm-cardona.blockpi.network/v1/rpc/public,2442,0,zkpolygonsep,error,error
https://api.raas.matterhosted.dev,2741,0,abstract,error,error
https://rpc.btxtestchain.com,3637,0,botanix,error,error
https://rpc.ankr.com/fantom_testnet,4002,1,fantom,error,error
https://fantom-testnet.public.blastapi.io,4002,2,fantom,error,error
https://l2-orderly-l2-4460-sepolia-8tc3sd7dvy.t.conduit.xyz,4460,0,orderly,error,error
https://canto.slingshot.finance,7700,0,canto,error,error
https://canto.neobase.one,7700,1,canto,error,error
https://mainnode.plexnode.org:8545,7700,2,canto,error,error
https://testnet-archive.plexnode.wtf,7701,0,canto,error,error
https://public-node-api.klaytnapi.com/v1/cypress,8217,0,klaytn,error,error
https://base.blockpi.network/v1/rpc/public,8453,4,base,error,error
wss://rpc.chiadochain.net/wss,10200,2,gnosis,error,error
https://rpc-gs-testnet.gameswift.io,10888,0,gameswift,error,error
https://rpc-testnet.gameswift.io,10888,1,gameswift,error,error
https://rpc.holesky.ethpandaops.io,17000,0,holesky,error,error
https://rpc.unreal-orbit.gelato.digital,18233,0,unreal,error,error
https://arb-mainnet.g.alchemy.com/v2/${ALCHEMY_API_KEY},42161,4,arbitrum,error,error
https://arbitrum-mainnet.infura.io/v3/${INFURA_API_KEY},42161,5,arbitrum,error,error
https://etherlink-mainnet-pub-l5p9tu.zeeve.net/rpc,42793,1,etherlink,error,error
https://rpc.ankr.com/avalanche_fuji,43113,1,avalanche,error,error
https://avalanche-mainnet.infura.io/v3/${INFURA_API_KEY},43114,2,avalanche,error,error
https://zircuit1.p2pify.com,48899,0,zircuit,error,error
https://linea-sepolia.blockpi.network/v1/rpc/public,59141,0,lineasep,error,error
https://linea-sepolia.infura.io/v3/9aa3d95b3bc440fa88ea12eaa4456161,59141,2,lineasep,error,error
wss://rpc.linea.build,59144,2,zkconsensys,error,error
https://linea-mainnet.infura.io/v3/${INFURA_API_KEY},59144,3,zkconsensys,error,error
wss://linea-mainnet.infura.io/ws/v3/${INFURA_API_KEY},59144,4,zkconsensys,error,error
https://bob-mainnet.blastapi.io/278bd36b-e02e-4391-a2b6-54e68e6695fd,60808,1,bob,error,error
https://rpc.ankr.com/polygon_amoy,80002,0,amoy,error,error
https://blast.blockpi.network/v1/rpc/public,81457,4,blast,error,error
https://public.stackup.sh/api/v1/node/base-sepolia,84532,1,basesep,error,error
https://rpc.taiko.tools,167000,1,taiko,error,error
https://taiko.blockpi.network/v1/rpc/public,167000,3,taiko,error,error
https://taiko-hekla.4everland.org/v1/37fa9972c1b1cd5fab542c7bdd4cde2f,167009,1,taiko,error,error
https://rpc-camp-network-4xje7wy105.t.conduit.xyz,325000,0,camp,error,error
https://rpc.ankr.com/scroll_sepolia_testnet,534351,1,scroll,error,error
https://scroll-sepolia.chainstacklabs.com,534351,2,scroll,error,error
https://scroll-testnet-public.unifra.io,534351,3,scroll,error,error
https://rpc-scroll.icecreamswap.com,534352,2,scroll,error,error
https://rpc.ankr.com/scroll,534352,3,scroll,error,error
https://scroll-mainnet.chainstacklabs.com,534352,4,scroll,error,error
https://rpc.sepolia.org,11155111,0,sepolia,error,error
https://rpc2.sepolia.org,11155111,1,sepolia,error,error
https://optimism-sepolia.blockpi.network/v1/rpc/public,11155420,3,optsep,error,error
https://blast-sepolia.blockpi.network/v1/rpc/public,168587773,2,blast,error,error
https://mainnet.rpc.rarichain.org/http,1380012617,0,rarible,error,error
https://harmony-mainnet.chainstacklabs.com,1666600000,0,harmony,error,error
https://rpc.ankr.com/harmony,1666600000,4,harmony,error,error
https://hmyone-pokt.nodies.app,1666600000,5,harmony,error,error
